,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S,Google,MSR,SemEval2012_2,label
0,0.15671641791,0.24,0.0883196329574,0.454545454545,0.45,0.377777777778,0.0872184615654,0.0675600831199,0.0467296869275,-0.0810343342,0.0204483173751,0.0225589960691,0.0163195443709,0.0321036279432,0.00143266475645,0.000125,-0.00605133702103,embedding-1
0,0.154228855721,0.225,0.0906136493978,0.409090909091,0.55,0.444444444444,0.0659136535223,0.218501516035,0.236511666156,-0.0876438206253,0.0568122298127,0.0312082356242,0.0242339141029,0.0696399899401,0.000818665575113,0.000125,0.0342021752878,embedding-2
0,0.189054726368,0.245,0.104760084114,0.454545454545,0.5,0.466666666667,0.109456922186,0.276310655107,0.167739398261,-0.057763520039,0.0254538176785,0.129608869138,0.112446169489,0.1807066534,0.00542365943512,0.024,0.0183101837888,embedding-3
0,0.169154228856,0.25,0.0994073790862,0.431818181818,0.55,0.488888888889,0.0841889642205,0.260115683111,0.208106130324,-0.09281635285,0.0618779877187,0.109821004379,0.0826203108621,0.202659830583,0.00306999590667,0.000625,0.0505557341847,mod_a3000-d128-v500000-s100001
0,0.18407960199,0.235,0.0911871535079,0.386363636364,0.525,0.466666666667,0.0694654313981,0.135061027741,-0.0178776322837,-0.0201715669768,0.00962134312963,0.150023237078,0.156624172835,0.193416916083,0.00250716332378,0.000375,0.0471876571609,mod_a10000-d300-v1000000-s100001
0,0.179104477612,0.23,0.0953928503154,0.431818181818,0.5,0.422222222222,0.0810541621726,0.231873864905,0.241697720569,-0.0627826007871,0.019765900739,0.0778179695758,0.0423181042888,0.21850677378,0.00312116250512,0.014375,0.0469127862866,orig_v1000000_253855-d300-s100001
0,0.18407960199,0.21,0.098260370866,0.431818181818,0.475,0.466666666667,0.112365316055,0.198527615838,-0.0275813837922,-0.0323753372489,0.114482156084,0.139667296021,0.143246845821,0.201729513952,0.00301882930823,0.000375,0.0553811427334,mod_a10000-w11117977-v500000-229800-dim300-s100001
0,0.176616915423,0.235,0.0965398585357,0.409090909091,0.525,0.4,0.125477140048,0.238621903173,-0.0136377048228,-0.00397914329253,0.053047040615,0.0766264477548,0.110728145372,0.132374660166,0.00296766270978,0.000125,0.0428288331498,mod_a10000-w11117977-v1000000-229800-dim300-s100001
0,0.208955223881,0.265,0.0938635060218,0.477272727273,0.525,0.533333333333,0.211934572451,0.256839735377,0.21243347897,-0.00505667647925,0.0858388271018,0.171701431795,0.173817326326,0.257339782324,0.00358166189112,0.00125,0.0827791200461,mod_a10000-w11117977-v1000000-229800-dim300-s200001_no-entities
0,0.149253731343,0.215,0.0800994073791,0.386363636364,0.475,0.422222222222,0.0305176055471,0.0832810195852,0.0687795742638,-0.0324951260007,0.0489102408102,-0.0132577743968,-0.0319883057826,-0.0295817939565,0.000409332787556,0.0,-0.00135225647494,mod_a100-w96759-v1000000-9213-dim300-s100001_no-entities
0,0.196517412935,0.24,0.10036321927,0.454545454545,0.55,0.466666666667,0.180089439289,0.246117467216,0.293276219578,-0.0421570050985,0.0670146666884,0.277335195237,0.263257344358,0.289695004057,0.00440032746623,0.00025,0.0633583943186,mod_a3000-w3478594-v500000-109622-dim300-s200000_no-SPACE-PUNCT-NUM
0,0.199004975124,0.25,0.0864079525903,0.409090909091,0.525,0.511111111111,0.175448436619,0.242996419304,0.289866793372,-0.0291424619596,0.059200671672,0.229257323859,0.182141879675,0.287087678726,0.00209783053623,0.000625,0.0498092409408,mod_a3000-w3259960-v500000-67889-dim300-s200000_no-NUM-PUNCT-SPACE-unify-entities
0,0.271144278607,0.295,0.108009940738,0.568181818182,0.675,0.644444444444,0.344723459619,0.324471916259,0.313142683815,0.0356786537374,0.191328199148,0.306850970867,0.28115539652,0.410991221382,0.00649815800246,0.002375,0.0849705813439,mod_a10000-w12660489-v500000-141172-dim300-s1000000_unify-NUM-PUNCT-SPACE-and-entities
0,0.298507462687,0.305,0.143184859491,0.522727272727,0.625,0.577777777778,0.339399585505,0.339617331068,0.247817203502,0.019133969928,0.217625986375,0.30918327082,0.220952550656,0.406182553152,0.0110008186656,0.005375,0.0764490468999,mod_a10000-w13369181-v500000-244962-dim300-s1000000_just-lemmata
